,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
184,1560000.0,85719,-110.942252,32.229421,0.3,14579.27,2015,5,5.0,4523.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Reverse Osmosis, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: Undercabinet",2.0,"Natural Stone, Wood",0.0
185,1565000.0,85715,-110.862571,32.262206,0.66,11905.22,2011,6,6.0,5367.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Walk-In, Refrigerator, Countertops: granite, Microwave: yes, Oven: yes",2.0,"Carpet, Natural Stone",57.0
186,1593000.0,85658,-111.096117,32.470886,0.44,1609.59,2016,3,4.0,3276.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Natural Stone, Wood",550.0
189,1400000.0,85718,-110.930795,32.340837,0.89,14581.28,2005,5,6.0,5158.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone",115.0
190,1550000.0,85715,-110.857251,32.25594,1.87,11204.62,1981,6,6.0,7542.0,6.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite",5.0,"Carpet, Natural Stone, Wood",48.0
191,1287500.0,85755,-110.99579,32.467311,4.12,6870.79,1984,4,4.0,4862.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",6.0,"Carpet, Concrete, Natural Stone, Wood",166.0
192,1500000.0,85755,-110.963547,32.47388,1.53,11380.56,2006,3,3.0,3752.0,2.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Concrete, Microwave: Stainless",3.0,Concrete,184.0
194,1512000.0,85718,-110.945895,32.347382,1.2,15504.0,2004,4,5.0,5701.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless",3.0,Natural Stone,164.0
196,1547664.0,85719,-110.934183,32.244512,0.2,0.0,2016,2,3.0,3346.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",1.0,"Carpet, Natural Stone",125.0
197,1560000.0,85718,-110.912096,32.292301,1.54,12230.81,1992,5,7.0,6151.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",216.0
199,1500000.0,85718,-110.939422,32.348715,2.41,16130.0,2009,4,6.0,4572.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,Concrete,195.0
