,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
632,910000.0,85718,-110.902875,32.320785,1.03,9730.0,1994,5,6.0,5418.0,3.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Walk-In, Refrigerator, Countertops: Granite, Oven: double",1.0,"Carpet, Ceramic Tile, Wood",270.0
633,995000.0,85745,-111.040915,32.224589,3.31,12426.0,2008,4,5.0,4920.0,3.0,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Oven: Electric",3.0,"Carpet, Natural Stone",125.0
634,1000000.0,85646,-111.048371,31.637039,1.1,6089.98,2002,3,3.0,4064.0,3.0,"Compactor, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in, Oven: Double",3.0,"Carpet, Ceramic Tile",21.0
636,1100000.0,85718,-110.904684,32.334517,0.94,9831.63,1976,4,4.0,5084.0,4.0,"Dishwasher, Garbage Disposal, Indoor Grill, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Missing: Wine Cooler",2.0,"Carpet, Natural Stone, Wood",0.0
638,985000.0,85718,-110.889899,32.291525,0.82,10274.5,2008,4,4.0,3438.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless",1.0,"Carpet, Natural Stone",150.0
639,1050000.0,85749,-110.753904,32.298931,3.35,9885.51,1999,5,4.0,4205.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Warming Drawer, Appliance Color: Stainless, Countertops: Mex Tile, Microwave: Built In",4.0,"Carpet, Mexican Tile",100.0
641,925000.0,85755,-110.991684,32.461466,1.0,12829.0,2005,4,4.0,4395.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator",5.0,"Carpet, Natural Stone",194.0
642,1040000.0,85718,-110.904587,32.322215,0.92,12042.39,2016,5,6.0,4757.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Water Purifier, Appliance Color: Stainless, Countertops: granite / quartzite, Microwave: two built in, Oven: Double oven",1.0,Ceramic Tile,135.0
643,1010000.0,85718,-110.918577,32.300914,1.48,16796.89,2005,5,7.0,7284.0,4.0,None,2.0,"Carpet, Concrete, Other",150.0
644,1050000.0,85755,-110.993794,32.457189,0.9,15729.91,2008,4,6.0,5056.0,3.0,None,2.0,"Carpet, Natural Stone",153.0
645,1000000.0,85750,-110.834239,32.323939,0.83,8846.99,1995,5,6.0,5800.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood, Other",50.0
646,985000.0,85718,-110.941318,32.340119,1.0,8540.73,2001,4,3.0,3528.0,3.0,"Compactor, Dishwasher, Refrigerator, Microwave, Oven",4.0,"Natural Stone, Wood",159.0
647,1043000.0,85718,-110.91851,32.33233,0.73,8179.16,1996,5,4.0,4445.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile",58.0
648,1025000.0,85750,-110.81883,32.292563,1.15,10270.51,2010,4,4.0,4325.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,Natural Stone,52.0
649,1050000.0,85750,-110.830548,32.313499,3.78,9586.5,1994,3,3.0,3841.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",0.0
650,1084000.0,85750,-110.846794,32.325927,0.69,9668.76,1996,4,4.0,5023.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",123.0
651,1050000.0,85750,-110.83367,32.323228,0.41,9819.93,1993,4,4.0,3943.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",142.0
652,1005000.0,85718,-110.917251,32.29907,1.88,10852.82,2004,4,4.0,4512.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Appliance Color: Stainless",5.0,"Carpet, Natural Stone",131.0
653,1025000.0,85718,-110.890347,32.333325,0.77,9436.1,1990,2,4.0,3962.0,2.0,"Compactor, Dishwasher, Electric Range, Garbage Disposal, Pantry: Cabinet, Refrigerator, Reverse Osmosis, Water Purifier, Appliance Color: Stainless, Countertops: corian",3.0,"Carpet, Laminate, Natural Stone, Wood",84.0
654,990000.0,85718,-110.943612,32.340981,0.96,11454.4,2001,5,5.0,4089.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite",2.0,"Carpet, Natural Stone, Wood",157.0
655,1020000.0,85750,-110.863398,32.331783,1.07,10807.0,1992,4,4.0,4061.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",2.0,"Carpet, Ceramic Tile, Natural Stone",233.0
656,1050000.0,85737,-110.976402,32.409208,3.36,12059.68,2005,5,4.0,3870.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: GE Monogram, Oven: Double GE Monogram",2.0,"Carpet, Natural Stone",138.0
658,1040000.0,85750,-110.830547,32.313503,3.75,9909.46,1994,3,3.0,3841.0,3.0,"Dishwasher, Gas Range, Island, Pantry: Butler, Prep Sink, Refrigerator, Reverse Osmosis, Warming Drawer, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: GE Stainless in butl, Oven: Wolf & Viking dbl ov",3.0,Natural Stone,0.0
660,1050000.0,85658,-111.06467,32.466766,0.8,12953.0,2013,3,4.0,3519.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",221.0
661,1095000.0,85718,-110.925512,32.339312,0.88,16006.87,1989,4,4.0,6069.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",303.0
662,1085000.0,85718,-110.93959,32.331767,1.0,10381.7,1992,5,5.0,5154.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Concrete,12.0
663,1010000.0,85718,-110.890334,32.291505,0.88,4031.0,2011,4,5.0,3810.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone, Wood",140.0
664,1045000.0,85718,-110.910452,32.291454,2.28,11057.0,1992,4,5.0,4712.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Mexican Tile",194.0
665,1000000.0,85718,-110.942702,32.349524,0.91,15074.94,2005,4,4.0,4727.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Natural Stone",158.0
666,980000.0,85755,-110.967153,32.463557,2.35,10934.98,1997,4,4.0,3812.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless",3.0,"Carpet, Other: Brick",132.0
667,1022500.0,85718,-110.914737,32.294956,1.42,13054.82,1988,5,5.0,5875.0,4.0,"Compactor, Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Oven, Oven: Stainless",3.0,"Carpet, Natural Stone",193.0
668,1065000.0,85718,-110.939911,32.339066,1.0,12818.9,2003,5,5.0,4946.0,3.0,"Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: White, Countertops: GRANITE, Microwave: YES, Oven: YES",3.0,"Carpet, Natural Stone",157.0
669,1030000.0,85750,-110.867419,32.321376,1.46,7264.84,1996,4,3.0,3929.0,3.0,"Desk, Dishwasher, Double Sink, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Double",3.0,"Carpet, Natural Stone, Wood",58.0
671,1090740.0,85755,-110.974351,32.460803,2.88,11.75,2017,4,2.0,3339.0,3.0,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis",2.0,Ceramic Tile,212.88
672,1090000.0,85718,-110.935072,32.326881,1.2,7678.0,2005,5,4.0,4482.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",2.0,"Carpet, Ceramic Tile",100.0
673,1015000.0,85718,-110.948942,32.343817,0.97,9620.36,2002,3,4.0,3829.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",159.0
675,1050000.0,85750,-110.83891,32.324833,0.39,10246.0,1993,4,5.0,5082.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile",122.0
676,1050000.0,85718,-110.912122,32.300872,2.0,9057.79,1988,4,5.0,5235.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",5.0,Natural Stone,193.0
677,993000.0,85718,-110.918141,32.286954,0.89,10795.75,2005,3,5.0,4169.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Ceramic Tile",45.0
678,975000.0,85718,-110.925585,32.304246,1.17,9010.4,2009,4,4.0,4200.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Concrete, Wood",0.0
679,1084009.0,85658,-111.06014,32.439469,3.32,2738.41,2019,3,4.0,3514.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Wet Bar, Appliance Color: Stainless, Microwave: GE Monogram",1.0,"Carpet, Other: Porcelain tile",0.0
680,1000000.0,85658,-111.087772,32.47008,0.7,10171.0,2007,4,4.0,3720.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",117.0
681,961000.0,85755,-111.015568,32.434271,4.38,10941.05,1995,4,5.0,5433.0,7.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite",2.0,"Carpet, Mexican Tile, Natural Stone",0.0
683,970000.0,85749,-110.778031,32.30794,1.46,8766.03,2007,4,4.0,4040.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile",171.0
684,1000000.0,85658,-111.056522,32.457059,1.35,14755.88,2008,4,4.0,4348.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",143.0
685,965000.0,85737,-110.992446,32.398966,2.59,10137.9,1999,4,3.0,4763.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Mexican Tile",45.0
687,1100000.0,85718,-110.947996,32.349497,1.07,13249.1,2006,4,4.0,4305.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Other",172.0
688,950000.0,85718,-110.922733,32.342072,0.95,9703.08,1993,3,4.0,4180.0,2.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Natural Stone",242.0
690,982000.0,85748,-110.744114,32.22876,3.34,9414.32,1996,5,4.0,4786.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Installed, Oven: Double",4.0,"Carpet, Ceramic Tile",68.0
691,1000000.0,85718,-110.923425,32.314073,1.59,9029.83,2006,5,3.0,3402.0,3.0,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Microwave: built in, Oven: Gas",2.0,"Concrete, Wood",195.0
692,900000.0,85658,-111.065056,32.471522,1.36,13196.96,2003,3,4.0,3978.0,3.0,"Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Black, Countertops: Granite, Oven: Double Ovens",5.0,"Carpet, Ceramic Tile",143.0
693,1073942.0,85658,-111.100452,32.469209,0.29,845.18,2013,2,3.0,1985.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",550.0
694,977000.0,85718,-110.936685,32.333035,1.11,5709.0,1980,4,5.0,4120.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Ceramic Tile, Concrete, Wood",0.0
695,1045000.0,85718,-110.944522,32.343722,0.83,11953.67,2005,4,5.0,4631.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Cabinet, Prep Sink, Refrigerator, Warming Drawer, Countertops: granite",3.0,"Carpet, Natural Stone",157.0
696,960000.0,85718,-110.915889,32.286166,1.71,10816.77,2004,4,5.0,4743.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Wood",194.0
697,1095084.0,85742,-111.020086,32.422575,0.84,2476.7,2019,4,5.0,4570.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator",0.0,"Carpet, Ceramic Tile",75.0
698,950000.0,85718,-110.88601,32.33204,0.99,9379.0,1965,5,5.0,5100.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",258.0
699,990000.0,85737,-110.948316,32.399464,0.81,8323.66,2008,3,4.0,3306.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Concrete,71.0
700,1053649.0,85755,-110.989999,32.460746,1.53,3171.39,2018,3,2.0,2635.0,3.0,"Dishwasher, Freezer, Island, Pantry: Walk-In, Refrigerator",1.0,Ceramic Tile,212.88
701,975000.0,85718,-110.908003,32.329545,0.73,5229.89,2002,4,4.0,3438.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,Concrete,0.0
702,1040000.0,85750,-110.826634,32.280622,2.62,9785.0,2006,4,4.0,4314.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",2.0,"Natural Stone, Wood",110.0
703,1020000.0,85755,-110.96146,32.465403,1.2,8774.21,1998,4,4.0,3955.0,3.0,"Dishwasher, Refrigerator, Microwave, Oven",3.0,"Carpet, Other",200.0
704,1035000.0,85750,-110.837592,32.320771,0.84,9929.66,1988,3,4.0,4104.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",3.0,"Carpet, Ceramic Tile, Wood",135.0
705,1050000.0,85712,-110.887241,32.266454,4.09,6953.23,1997,3,4.0,4109.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,Concrete,0.0
706,1010000.0,85718,-110.943582,32.338577,0.95,10388.0,2001,3,3.0,3618.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",159.0
707,950000.0,85718,-110.945082,32.34433,0.89,10151.0,2005,3,3.0,3408.0,3.0,"Dishwasher, Refrigerator, Microwave, Oven",2.0,Concrete,160.0
708,895000.0,85742,-111.032797,32.408004,3.3,8950.56,2007,4,7.0,6174.0,4.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Natural Stone, Wood",0.0
710,935000.0,85739,-110.856975,32.549264,0.47,7487.2,2004,3,4.0,3658.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",1.0,"Carpet, Natural Stone",165.0
711,1090000.0,85712,-110.870492,32.263257,1.31,10303.57,1986,3,4.0,5010.0,3.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless",5.0,"Carpet, Concrete",0.0
712,1025000.0,85750,-110.843487,32.300064,0.85,8377.0,1999,4,4.0,3437.0,7.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone",40.0
713,950000.0,85750,-110.835229,32.324658,1.0,7046.76,2002,3,4.0,3662.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",41.0
714,1005000.0,85750,-110.867028,32.321661,1.06,6993.42,1994,4,4.0,3579.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Mexican Tile",58.0
716,975000.0,85718,-110.939977,32.338549,1.01,10288.84,1999,4,4.0,3875.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite",5.0,"Carpet, Mexican Tile",157.0
717,1001000.0,85718,-110.942612,32.346691,1.0,9248.0,2002,3,4.0,3373.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone",159.0
718,1004965.0,85718,-110.923198,32.337812,0.87,9928.92,1986,4,4.0,3734.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile",250.0
719,1010000.0,85750,-110.849825,32.312638,1.02,8915.85,1991,4,5.0,5036.0,3.0,"Compactor, Dishwasher, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Other",44.0
721,1038000.0,85718,-110.94196,32.347579,1.12,11404.84,2002,4,5.0,4387.0,3.0,"Compactor, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Reverse Osmosis, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless",3.0,Natural Stone,158.0
722,975000.0,85718,-110.923945,32.296765,1.35,9919.64,1995,4,4.0,4102.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",3.0,"Carpet, Mexican Tile, Natural Stone",146.0
723,1048842.0,85719,-110.938291,32.242845,0.23,0.0,2016,2,3.0,3346.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator",1.0,"Carpet, Natural Stone",125.0
724,1005000.0,85718,-110.918268,32.332692,0.87,10621.7,1995,3,5.0,4963.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Concrete",58.0
725,1069000.0,85719,-110.939051,32.243662,0.2,0.0,2018,3,3.0,3346.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite or Quartz",1.0,"Carpet, Natural Stone",125.0
727,960000.0,85750,-110.86282,32.278678,0.66,8018.0,2009,3,4.0,3376.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Ceramic Tile, Wood",23.0
728,1000000.0,85745,-111.065946,32.266686,3.64,7769.92,2013,3,2.0,2432.0,2.0,"Desk, Dishwasher, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Walk-In, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Silestone, Microwave: GE, Oven: Jenn-Air",2.0,Concrete,0.0
729,935000.0,85718,-110.947576,32.327266,0.81,8258.15,2006,5,4.0,5407.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Wood",5.0
730,975000.0,85718,-110.914945,32.291514,1.5,10617.0,2002,4,5.0,4556.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Mexican Tile, Natural Stone",161.0
731,973000.0,85750,-110.868625,32.326457,0.8,3824.0,2014,4,5.0,4570.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",37.0
732,950000.0,85737,-110.966782,32.394952,0.96,7815.69,1982,3,4.0,4319.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Natural Stone, Wood",6.0
733,900000.0,85718,-110.949328,32.300806,1.0,5864.15,1980,3,4.0,4022.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Mexican Tile, Natural Stone",8.0
734,907500.0,85718,-110.926584,32.338214,2.09,12852.32,1985,4,5.0,4550.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Refrigerator",7.0,"Carpet, Ceramic Tile, Concrete, Mexican Tile",285.0
735,1000000.0,85750,-110.86713,32.328752,0.8,11642.96,2002,4,5.0,5722.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite",2.0,"Carpet, Natural Stone, Wood",43.0
736,1000089.0,85658,-111.09447,32.471268,0.25,657.44,2013,3,4.0,2329.0,2.0,"Dishwasher, Garbage Disposal, Gas Range, Refrigerator",1.0,"Carpet, Natural Stone",550.0
737,1100000.0,85718,-110.921177,32.308522,1.3,7335.25,1970,5,3.0,5345.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1.0,"Carpet, Concrete, Natural Stone",0.0
738,918750.0,85743,-111.082523,32.310752,3.32,9875.0,2008,4,5.0,5505.0,4.0,"Dishwasher, Garbage Disposal, Oven",2.0,"Carpet, Mexican Tile",67.0
739,945000.0,85718,-110.890205,32.324348,1.11,5986.1,1988,3,3.0,4151.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",3.0,"Carpet, Natural Stone",215.0
740,925000.0,85750,-110.868612,32.327368,0.44,8448.0,2005,6,5.0,5042.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone",40.0
741,950000.0,85749,-110.739649,32.302659,2.9,6136.61,1995,6,5.0,5120.0,2.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Concrete, Mexican Tile, Wood",0.0
742,950000.0,85755,-110.989124,32.459547,0.0,12186.6,2004,3,4.0,3759.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",167.0
743,960000.0,85755,-110.992443,32.459609,0.93,3408.91,2014,4,4.0,3226.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Natural Stone",166.0
744,975000.0,85718,-110.926831,32.342365,0.78,7735.47,1988,3,3.0,3647.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile",270.0
745,950000.0,85718,-110.877659,32.332391,0.98,7693.0,1980,3,4.0,3597.0,2.0,"Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Mexican Tile",215.0
746,960000.0,85718,-110.897513,32.332164,0.57,7314.22,2004,4,6.0,4943.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Oven",2.0,"Carpet, Natural Stone",0.0
748,990000.0,85718,-110.910264,32.294609,1.61,10060.0,1990,5,5.0,4879.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Mexican Tile",194.0
749,982500.0,85750,-110.864263,32.318603,0.99,9101.87,2002,5,4.0,4170.0,3.0,"Dishwasher, Garbage Disposal, Microwave",3.0,"Carpet, Natural Stone",42.0
750,945000.0,85718,-110.915998,32.306449,1.07,6668.0,1993,4,3.0,4543.0,2.0,"Dishwasher, Freezer, Refrigerator, Microwave, Oven",3.0,"Carpet, Mexican Tile, Natural Stone",0.0
751,1000000.0,85718,-110.936805,32.340649,0.83,10452.89,1998,5,3.0,4172.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Other",159.0
752,850000.0,85716,-110.918443,32.215515,1.06,8132.11,1964,5,5.0,5200.0,2.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",8.0
753,850000.0,85737,-110.96225,32.414302,3.0,11757.21,2002,6,6.0,6195.0,5.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Concrete, Wood",0.0
754,900000.0,85750,-110.840807,32.325541,2.16,11610.0,1990,3,4.0,3590.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile",146.0
755,1048685.0,85737,-110.945133,32.393846,2.4,11058.49,2001,4,4.0,4971.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Natural Stone, Wood",97.0
757,970000.0,85755,-110.969462,32.460562,0.86,12460.3,1997,5,5.0,4895.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Slab Granite, Microwave: Built-in, Oven: Double Ovens",4.0,"Carpet, Mexican Tile",132.0
758,1025000.0,85718,-110.929926,32.343288,1.01,7879.69,1985,4,4.0,4587.0,3.0,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Countertops: Granite, Microwave: Countertop",4.0,"Ceramic Tile, Concrete, Wood, Other: Refinished Brick",0.0
759,960000.0,85755,-110.993794,32.462802,0.91,13226.72,2007,4,5.0,3691.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Countertops: Granite, Microwave: yes, Oven: Double",3.0,"Carpet, Natural Stone",232.0
760,985000.0,85755,-110.962515,32.472631,1.29,13374.36,2014,5,6.0,4786.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Under Counter, Oven: Double Ovens",1.0,"Carpet, Natural Stone",209.0
761,1007821.3,85755,-110.97315,32.461567,1.75,1319.27,2018,3,4.0,2635.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Microwave, Refrigerator, Reverse Osmosis",1.0,"Carpet, Ceramic Tile",0.0
762,975000.0,85704,-110.961791,32.370787,2.95,3309.31,2014,4,3.0,3200.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile",0.0
765,965000.0,85718,-110.920368,32.342219,0.8,8595.41,1983,3,3.0,3854.0,3.0,"Compactor, Dishwasher, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",300.0
